Date,Open,High,Low,Close,Volume,Adj Close
2015-12-25,5.88,5.88,5.88,5.88,000,5.88
2015-12-24,5.83,5.88,5.79,5.88,4099000,5.88
2015-12-23,5.83,5.86,5.75,5.83,14091100,5.83
2015-12-22,5.72,5.90,5.72,5.78,8748400,5.78
2015-12-21,5.71,5.78,5.69,5.73,14449500,5.73
2015-12-18,5.69,5.76,5.64,5.71,32482500,5.71
2015-12-17,5.70,5.77,5.66,5.74,32852500,5.74
2015-12-16,5.58,5.73,5.53,5.68,47937800,5.68
2015-12-15,5.65,5.66,5.40,5.42,53822500,5.42
2015-12-14,5.46,5.72,5.44,5.65,61091100,5.65
2015-12-11,6.31,6.49,6.05,6.06,42997400,6.06
2015-12-10,6.58,6.77,6.58,6.64,11842400,6.64
2015-12-09,6.70,6.82,6.66,6.70,8589400,6.70
2015-12-08,6.92,6.92,6.60,6.66,13320300,6.66
2015-12-07,6.92,6.98,6.87,6.97,9589300,6.97
2015-12-04,6.83,6.97,6.83,6.89,9698500,6.89
2015-12-03,6.93,7.08,6.92,7.02,6616400,7.02
2015-12-02,7.10,7.10,6.92,7.05,6891000,7.05
2015-12-01,6.91,7.12,6.75,7.08,27537300,7.08
2015-11-30,6.66,6.91,6.66,6.78,29513900,6.78
2015-11-27,7.11,7.11,6.82,6.83,15424600,6.83
2015-11-26,7.09,7.20,6.99,7.06,13374200,7.06
2015-11-25,7.02,7.11,7.01,7.06,7485300,7.06
2015-11-24,7.10,7.14,7.02,7.05,12444700,7.05
2015-11-23,7.24,7.31,7.14,7.17,11875400,7.17
2015-11-20,7.15,7.23,7.07,7.19,18535000,7.19
2015-11-19,7.07,7.24,6.99,7.15,11930100,7.15
2015-11-18,7.01,7.07,6.90,6.92,6941000,6.92
2015-11-17,6.90,7.08,6.89,7.02,11908700,7.02
2015-11-16,6.89,6.99,6.80,6.84,24761600,6.84
2015-11-13,7.24,7.32,7.07,7.11,18209000,7.11
2015-11-12,7.17,7.47,7.05,7.43,23887300,7.43
2015-11-11,7.07,7.15,6.98,7.07,20054700,7.07
2015-11-10,7.11,7.29,7.10,7.10,20703100,7.10
2015-11-09,7.25,7.45,7.20,7.40,16327000,7.40
2015-11-06,7.26,7.39,7.26,7.33,9472100,7.33
2015-11-05,7.47,7.63,7.46,7.57,14658600,7.378
2015-11-04,7.49,7.69,7.40,7.55,20090400,7.359
2015-11-03,7.47,7.60,7.43,7.49,11253400,7.30
2015-11-02,7.26,7.54,7.26,7.45,16950300,7.261
2015-10-30,7.59,7.70,7.49,7.54,20113900,7.349
2015-10-29,7.55,7.74,7.50,7.60,30743900,7.407
2015-10-28,7.57,7.73,7.57,7.62,28700500,7.427
2015-10-27,7.47,7.84,7.47,7.70,66092100,7.505
