Date,Open,High,Low,Close,Volume,Adj Close
2015-12-28,16.00,16.00,15.74,15.80,1311800,15.80
2015-12-25,15.92,15.92,15.92,15.92,000,15.92
2015-12-24,16.06,16.06,15.84,15.92,2550700,15.92
2015-12-23,16.02,16.16,15.92,16.02,3158000,16.02
2015-12-22,15.20,16.00,15.16,15.94,7236100,15.94
2015-12-21,15.34,15.34,14.98,15.20,3428100,15.20
2015-12-18,15.12,15.12,14.94,15.08,5489800,15.08
2015-12-17,15.10,15.20,14.98,15.04,6036000,15.04
2015-12-16,14.68,15.00,14.60,14.84,5800600,14.84
2015-12-15,14.92,14.92,14.40,14.42,3584300,14.42
2015-12-14,14.74,14.82,14.30,14.64,6286200,14.64
2015-12-11,15.12,15.12,14.60,14.74,2797000,14.74
2015-12-10,14.92,15.12,14.74,14.80,4874300,14.80
2015-12-09,15.20,15.20,14.78,14.82,2328800,14.82
2015-12-08,15.00,15.14,14.72,15.00,7801300,15.00
2015-12-07,14.98,15.24,14.98,15.06,5418000,15.06
2015-12-04,15.00,15.10,14.88,14.98,2893300,14.98
2015-12-03,15.20,15.28,15.08,15.28,3397000,15.28
2015-12-02,15.20,15.28,14.92,15.22,2786200,15.22
2015-12-01,15.08,15.26,14.60,15.10,5439200,15.10
2015-11-30,14.46,15.24,14.30,15.08,11291300,15.08
2015-11-27,14.94,14.94,14.40,14.62,2877600,14.62
2015-11-26,15.14,15.20,14.84,14.98,1945400,14.98
2015-11-25,15.20,15.20,14.86,14.98,1537900,14.98
2015-11-24,14.88,15.12,14.70,15.08,1806000,15.08
2015-11-23,15.12,15.12,14.66,14.98,6821300,14.98
2015-11-20,15.00,15.00,14.78,14.98,7062400,14.98
2015-11-19,14.72,14.94,14.66,14.84,3820700,14.84
2015-11-18,14.76,14.76,14.66,14.70,2705200,14.70
2015-11-17,14.70,14.78,14.46,14.70,5268200,14.70
2015-11-16,14.02,14.76,14.02,14.44,3702500,14.44
2015-11-13,14.20,14.48,14.08,14.38,4211400,14.38
2015-11-12,14.08,14.48,13.94,14.40,4575800,14.40
2015-11-11,13.94,14.02,13.76,13.98,3143600,13.98
2015-11-10,13.82,13.90,13.50,13.72,5248400,13.72
2015-11-09,14.16,14.38,13.88,13.92,4981400,13.92
2015-11-06,14.44,14.54,14.26,14.28,2759100,14.28
2015-11-05,14.50,14.66,14.40,14.60,4260500,14.60
2015-11-04,14.48,15.26,14.40,14.68,5325000,14.68
2015-11-03,14.48,14.70,14.00,14.44,7363900,14.44
2015-11-02,14.48,14.70,14.36,14.50,6341900,14.50
2015-10-30,14.52,14.78,14.36,14.68,6932400,14.68
2015-10-29,14.90,14.92,14.32,14.56,5728100,14.56
2015-10-28,14.90,15.08,14.86,14.96,11559000,14.96
2015-10-27,15.00,15.16,14.92,15.02,8055000,15.02
2015-10-26,15.10,15.20,14.88,15.16,4416400,15.16
2015-10-23,15.06,15.26,14.70,14.94,8794500,14.94
2015-10-22,14.88,15.20,14.82,14.94,3621900,14.94
2015-10-21,15.06,15.06,15.06,15.06,000,15.06
2015-10-20,14.94,15.22,14.94,15.06,3353300,15.06
2015-10-19,15.28,15.28,14.86,15.02,3901400,15.02
2015-10-16,15.18,15.34,15.06,15.28,8770900,15.28
2015-10-15,15.20,15.20,14.90,15.02,8381400,15.02
2015-10-14,14.98,15.20,14.92,14.94,6433900,14.94
2015-10-13,14.30,15.20,14.12,14.92,12771900,14.92
2015-10-12,14.14,14.50,14.10,14.40,7643300,14.40
2015-10-09,14.12,14.28,13.82,13.84,3643800,13.84
2015-10-08,14.70,14.70,13.86,14.04,10221000,14.04
2015-10-07,14.20,14.98,14.00,14.86,9523500,14.86
2015-10-06,14.80,14.80,14.10,14.22,7656200,14.22
2015-10-05,15.26,15.36,14.32,14.72,10300400,14.72
2015-10-02,14.80,15.24,14.76,15.22,12368900,15.22
2015-10-01,14.38,14.38,14.38,14.38,000,14.38
2015-09-30,14.40,14.46,14.10,14.38,15964200,14.38
2015-09-29,14.00,14.38,13.70,14.34,11513700,14.34
2015-09-28,14.32,14.32,14.32,14.32,000,14.32
2015-09-25,13.90,14.52,13.90,14.32,11445100,14.32
2015-09-24,13.64,14.00,13.64,13.92,10829200,13.92
2015-09-23,13.52,14.00,13.52,13.62,10656500,13.62
2015-09-22,13.30,13.64,13.28,13.56,13903300,13.56
2015-09-21,13.44,13.44,13.22,13.30,11719700,13.30
2015-09-18,12.50,13.22,12.18,13.22,42143200,13.22
2015-09-17,25.50,26.00,25.00,25.55,28596600,25.55
2015-09-16,24.90,24.95,24.45,24.55,11830000,24.55
2015-09-15,24.55,25.05,24.50,24.90,10630300,24.90
2015-09-14,24.50,24.65,24.35,24.50,7421300,24.50
2015-09-11,24.45,24.50,24.20,24.40,5468900,24.40
2015-09-10,23.90,24.50,23.90,24.25,6249300,24.25
2015-09-09,23.95,24.50,23.95,24.40,8444600,24.40
2015-09-08,24.00,24.10,23.70,24.00,7982200,24.00
2015-09-07,23.55,23.80,23.30,23.60,3292200,23.60
2015-09-04,23.75,23.85,23.10,23.55,6711800,23.55
2015-09-03,23.10,23.10,23.10,23.10,000,23.10
2015-09-02,23.90,23.90,23.00,23.10,5956100,23.10
2015-09-01,24.25,24.25,23.70,23.80,3508700,23.80
2015-08-31,24.10,24.40,23.80,24.35,6399400,24.35
2015-08-28,24.50,24.50,24.00,24.00,3566300,24.00
2015-08-27,23.30,24.50,22.90,24.35,6646500,24.35
2015-08-26,23.25,23.40,22.80,22.85,8855600,22.85
2015-08-25,22.80,23.65,22.80,23.00,11550400,23.00
2015-08-24,22.70,23.45,22.70,22.85,13633000,22.85
2015-08-21,23.15,23.80,23.05,23.45,5923200,23.45
2015-08-20,23.90,23.95,23.35,23.55,7821300,23.55
2015-08-19,24.05,24.20,23.80,23.90,3469200,23.90
2015-08-18,24.20,24.55,24.20,24.20,2351000,24.20
2015-08-17,24.60,24.60,24.25,24.30,3653600,24.30
2015-08-14,24.45,24.65,24.15,24.50,2245300,24.50
2015-08-13,24.70,24.70,24.30,24.45,2299800,24.45
2015-08-12,24.60,24.85,24.40,24.75,6192600,24.75
2015-08-11,24.75,25.15,24.65,24.75,2400500,24.75
2015-08-10,24.80,24.85,24.30,24.70,1535200,24.70
