Date,Open,High,Low,Close,Volume,Adj Close
2015-12-25,8.38,8.38,8.38,8.38,000,8.38
2015-12-24,8.19,8.52,8.19,8.38,1823100,8.38
2015-12-23,8.33,8.54,8.22,8.38,2503500,8.38
2015-12-22,8.40,8.40,8.18,8.23,1717700,8.23
2015-12-21,8.07,8.45,8.00,8.20,1458000,8.20
2015-12-18,7.72,8.06,7.72,8.05,4317800,8.05
2015-12-17,7.83,8.03,7.83,7.96,2512900,7.96
2015-12-16,7.90,7.98,7.75,7.77,2135800,7.77
2015-12-15,8.06,8.04,7.88,7.89,1966700,7.89
2015-12-14,8.07,8.09,7.85,8.01,4316200,8.01
2015-12-11,7.76,8.04,7.70,8.01,7402900,8.01
2015-12-10,7.97,8.04,7.82,7.85,3463000,7.85
2015-12-09,7.76,8.02,7.70,7.96,3567300,7.96
2015-12-08,7.91,8.00,7.83,7.91,2787300,7.91
2015-12-07,8.12,8.12,8.01,8.04,2867500,8.04
2015-12-04,7.85,8.14,7.82,8.12,5052200,8.12
2015-12-03,7.98,8.07,7.92,8.05,2505100,8.05
2015-12-02,7.98,8.05,7.82,8.04,3072500,8.04
2015-12-01,8.00,8.03,7.86,7.97,4252600,7.97
2015-11-30,8.04,8.10,7.90,8.00,8568300,8.00
2015-11-27,8.26,8.28,8.13,8.20,3168800,8.20
2015-11-26,8.32,8.32,8.20,8.24,2559300,8.24
2015-11-25,8.26,8.46,8.25,8.32,3159000,8.32
2015-11-24,8.30,8.47,8.24,8.36,3490800,8.36
2015-11-23,8.39,8.53,8.26,8.42,2966100,8.42
2015-11-20,8.23,8.48,8.12,8.44,2654500,8.44
2015-11-19,8.39,8.39,8.20,8.27,2621400,8.27
2015-11-18,8.33,8.34,8.21,8.31,2437900,8.31
2015-11-17,8.17,8.39,8.17,8.33,2302800,8.33
2015-11-16,8.02,8.20,7.98,8.15,2637200,8.15
2015-11-13,8.45,8.45,8.22,8.28,3748700,8.28
2015-11-12,8.28,8.48,8.19,8.45,3560100,8.45
2015-11-11,8.31,8.49,8.20,8.23,3744000,8.23
2015-11-10,8.53,8.53,8.38,8.40,2510800,8.40
2015-11-09,8.78,8.78,8.44,8.51,3137900,8.51
2015-11-06,8.63,8.76,8.61,8.67,2406000,8.67
2015-11-05,8.81,8.89,8.67,8.78,3392600,8.78
2015-11-04,8.63,8.97,8.50,8.95,3415700,8.95
2015-11-03,8.20,8.76,8.20,8.61,4948100,8.61
2015-11-02,8.19,8.33,8.14,8.20,4131400,8.20
2015-10-30,8.49,8.52,8.26,8.28,6578100,8.28
2015-10-29,8.77,8.87,8.69,8.72,2054500,8.72
2015-10-28,9.03,9.06,8.57,8.77,3289200,8.77
2015-10-27,9.13,9.14,8.88,9.11,4332300,9.11
2015-10-26,8.70,9.16,8.36,9.13,5237300,9.13
2015-10-23,8.80,8.80,8.55,8.59,2759800,8.59
2015-10-22,8.29,8.69,8.13,8.69,6300200,8.69
2015-10-21,8.29,8.29,8.29,8.29,000,8.29
2015-10-20,8.63,8.63,8.18,8.29,4778600,8.29
2015-10-19,9.08,9.08,8.45,8.51,4127100,8.51
2015-10-16,8.98,9.14,8.55,8.75,4353600,8.75
2015-10-15,8.63,8.87,8.40,8.81,3775000,8.81
2015-10-14,8.96,8.96,8.30,8.61,5252600,8.61
2015-10-13,9.75,9.75,9.00,9.03,6639000,9.03
2015-10-12,8.85,9.14,8.83,9.08,2807800,9.08
2015-10-09,8.87,8.98,8.75,8.93,4976500,8.93
2015-10-08,8.86,8.87,8.56,8.74,3714600,8.74
2015-10-07,8.29,8.99,8.29,8.98,6053300,8.98
2015-10-06,8.22,8.40,8.20,8.37,3340500,8.37
2015-10-05,8.35,8.35,8.11,8.20,6449000,8.20
2015-10-02,7.32,8.18,7.20,8.07,7369700,8.07
2015-10-01,7.19,7.19,7.19,7.19,000,7.19
2015-09-30,7.31,7.40,7.03,7.19,7283800,7.19
2015-09-29,7.51,7.54,7.10,7.12,5115800,7.12
2015-09-28,7.86,7.86,7.86,7.86,000,7.86
2015-09-25,7.50,7.86,7.50,7.86,4054400,7.86
2015-09-24,7.85,7.85,7.58,7.59,3110900,7.59
2015-09-23,7.78,7.91,7.54,7.76,4368100,7.76
2015-09-22,8.00,8.06,7.82,7.89,7379000,7.89
2015-09-21,8.28,8.45,7.82,7.93,8085200,7.93
2015-09-18,8.60,8.72,8.46,8.54,4003300,8.44
2015-09-17,8.80,8.80,8.35,8.54,3493600,8.44
2015-09-16,8.45,8.70,8.20,8.53,5528500,8.43012
2015-09-15,8.66,8.77,8.29,8.36,5868300,8.26211
2015-09-14,8.68,8.95,8.56,8.60,5175100,8.4993
2015-09-11,8.92,8.95,8.45,8.68,5326000,8.57836
2015-09-10,8.33,8.73,8.28,8.69,4422100,8.58824
2015-09-09,8.49,8.68,8.36,8.58,5829000,8.47953
2015-09-08,8.05,8.27,7.90,8.23,3232400,8.13363
2015-09-07,7.90,8.11,7.85,7.90,2596000,7.80749
2015-09-04,8.08,8.13,7.82,7.90,5331700,7.80749
2015-09-03,7.93,7.93,7.93,7.93,000,7.83714
2015-09-02,7.95,8.15,7.78,7.93,7148700,7.83714
2015-09-01,8.30,8.30,7.99,8.01,8308000,7.91621
2015-08-31,8.40,8.40,7.99,8.34,7825100,8.24234
2015-08-28,8.30,8.58,8.19,8.39,10228500,8.29176
2015-08-27,8.25,8.57,8.07,8.14,13228100,8.04468
2015-08-26,8.70,8.61,8.07,8.38,9002100,8.28187
2015-08-25,8.37,8.91,8.26,8.49,11396000,8.39059
2015-08-24,8.60,9.06,8.20,8.80,11985100,8.69696
2015-08-21,9.90,9.90,9.55,9.70,6048800,9.58642
2015-08-20,10.76,10.76,10.20,10.20,2272900,10.08056
2015-08-19,11.04,11.04,10.68,10.78,2308300,10.65377
2015-08-18,10.84,10.96,10.70,10.78,3713700,10.65377
2015-08-17,11.04,11.18,10.86,10.94,3669600,10.8119
2015-08-14,11.18,11.18,10.80,10.90,1014200,10.77236
2015-08-13,10.86,11.14,10.70,10.94,2358100,10.8119
2015-08-12,11.30,11.30,10.70,10.86,4557000,10.73283
2015-08-11,11.30,11.60,11.10,11.36,4800100,11.22698
2015-08-10,11.18,11.28,10.98,11.08,4081400,10.95026
2015-08-07,11.16,11.60,11.16,11.40,2471600,11.26651
