Date,Open,High,Low,Close,Volume,Adj Close
2015-12-28,3.53,3.53,3.45,3.49,230124500,3.49
2015-12-25,3.50,3.50,3.50,3.50,000,3.50
2015-12-24,3.53,3.53,3.50,3.50,137698000,3.50
2015-12-23,3.48,3.53,3.46,3.51,181644800,3.51
2015-12-22,3.47,3.49,3.45,3.47,162085800,3.47
2015-12-21,3.40,3.49,3.40,3.47,248453500,3.47
2015-12-18,3.42,3.49,3.41,3.45,315501900,3.45
2015-12-17,3.45,3.50,3.42,3.46,274807300,3.46
2015-12-16,3.38,3.44,3.37,3.40,282388100,3.40
2015-12-15,3.31,3.38,3.30,3.33,254643300,3.33
2015-12-14,3.30,3.36,3.28,3.33,344227900,3.33
2015-12-11,3.32,3.34,3.30,3.33,276898900,3.33
2015-12-10,3.35,3.39,3.32,3.33,377971600,3.33
2015-12-09,3.37,3.39,3.36,3.36,357654200,3.36
2015-12-08,3.42,3.43,3.38,3.41,362037400,3.41
2015-12-07,3.50,3.50,3.43,3.44,247198500,3.44
2015-12-04,3.47,3.49,3.45,3.47,313262600,3.47
2015-12-03,3.50,3.53,3.48,3.51,185845100,3.51
2015-12-02,3.51,3.54,3.48,3.52,303298000,3.52
2015-12-01,3.45,3.55,3.45,3.50,403223300,3.50
2015-11-30,3.43,3.49,3.41,3.44,481914600,3.44
2015-11-27,3.50,3.52,3.44,3.45,432073700,3.45
2015-11-26,3.55,3.58,3.48,3.50,235572500,3.50
2015-11-25,3.48,3.53,3.47,3.49,295401000,3.49
2015-11-24,3.52,3.53,3.46,3.51,233220100,3.51
2015-11-23,3.57,3.58,3.52,3.54,165319200,3.54
2015-11-20,3.53,3.58,3.50,3.55,221604700,3.55
2015-11-19,3.51,3.54,3.50,3.52,230573500,3.52
2015-11-18,3.48,3.50,3.45,3.46,219205100,3.46
2015-11-17,3.49,3.54,3.46,3.48,335204400,3.48
2015-11-16,3.42,3.46,3.41,3.43,404908000,3.43
2015-11-13,3.48,3.50,3.46,3.48,416380800,3.48
2015-11-12,3.48,3.57,3.48,3.53,476404200,3.53
2015-11-11,3.50,3.52,3.47,3.49,429124200,3.49
2015-11-10,3.54,3.56,3.51,3.51,416238600,3.51
2015-11-09,3.55,3.65,3.54,3.58,391004900,3.58
2015-11-06,3.61,3.63,3.59,3.59,225741500,3.59
2015-11-05,3.61,3.67,3.60,3.65,257847300,3.65
2015-11-04,3.56,3.71,3.55,3.63,545133200,3.63
2015-11-03,3.60,3.63,3.55,3.56,388072300,3.56
2015-11-02,3.60,3.64,3.55,3.57,368068500,3.57
2015-10-30,3.68,3.72,3.65,3.67,271918400,3.67
2015-10-29,3.76,3.76,3.68,3.72,231928900,3.72
2015-10-28,3.81,3.81,3.70,3.73,252454800,3.73
2015-10-27,3.77,3.81,3.73,3.81,288933400,3.81
2015-10-26,3.87,3.88,3.78,3.81,319134100,3.81
2015-10-23,3.85,3.86,3.81,3.83,253335100,3.83
2015-10-22,3.74,3.80,3.71,3.79,216528800,3.79
2015-10-21,3.74,3.74,3.74,3.74,000,3.74
2015-10-20,3.74,3.77,3.72,3.74,250032500,3.74
2015-10-19,3.73,3.79,3.70,3.77,201105500,3.77
2015-10-16,3.74,3.75,3.71,3.73,334316400,3.73
2015-10-15,3.63,3.73,3.63,3.70,302425500,3.70
2015-10-14,3.61,3.66,3.60,3.61,213574800,3.61
2015-10-13,3.71,3.71,3.63,3.66,259234100,3.66
2015-10-12,3.68,3.73,3.66,3.70,323109500,3.70
2015-10-09,3.65,3.74,3.63,3.65,468964600,3.65
2015-10-08,3.62,3.62,3.54,3.59,319480000,3.59
2015-10-07,3.42,3.64,3.42,3.61,558242900,3.61
2015-10-06,3.48,3.50,3.41,3.44,185513100,3.44
2015-10-05,3.46,3.46,3.42,3.44,183142300,3.44
2015-10-02,3.38,3.43,3.34,3.39,357297000,3.39
2015-10-01,3.33,3.33,3.33,3.33,000,3.33
2015-09-30,3.32,3.37,3.30,3.33,383689900,3.33
2015-09-29,3.30,3.31,3.26,3.30,462457100,3.30
2015-09-28,3.38,3.38,3.38,3.38,000,3.38
